generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
24934.0,9197.0,5764.0,716.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
13504.0,4873.0,3685.0,650.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
11383.0,3941.0,3418.0,634.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
2326.0,834.0,569.0,624.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
27666.0,9743.0,9206.0,608.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
4272.0,1513.0,1447.0,596.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
1127.0,405.0,347.0,590.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
19553.0,6930.0,5797.0,578.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
1133.0,407.0,371.0,572.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
1274.0,456.0,421.0,568.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
5285.0,1860.0,1858.0,564.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
404.0,146.0,77.0,562.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
9148.0,3248.0,3223.0,558.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
404.0,146.0,77.0,556.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
396.0,143.0,52.0,554.0,0.0,518.0,2.0,518.0,2.0,518.0,1.5,true
5699.0,2164.0,1160.0,531.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
27171.0,9646.0,8339.0,455.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
2407.0,821.0,580.0,451.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
5225.0,1851.0,1674.0,441.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
5349.0,1843.0,1718.0,433.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
10627.0,3761.0,2803.0,427.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
10525.0,3735.0,3685.0,425.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
4660.0,1640.0,1478.0,423.0,0.0,383.0,2.0,383.0,2.0,383.0,1.5,true
226106.0,79073.0,67677.0,1022.0,0.0,476.0,2.0,476.0,2.0,476.0,1.5,true
835939.0,296909.0,283823.0,894.0,0.0,476.0,2.0,476.0,2.0,476.0,1.5,true
4918.0,1823.0,979.0,876.0,0.0,476.0,2.0,476.0,2.0,476.0,1.5,true
6479.0,2289.0,1862.0,868.0,0.0,476.0,2.0,476.0,2.0,476.0,1.5,true
10026.0,3527.0,1363.0,866.0,0.0,476.0,2.0,476.0,2.0,476.0,1.5,true
22768.0,8348.0,6282.0,625.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
92401.0,33129.0,30510.0,515.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
17789.0,6221.0,5360.0,483.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
8097.0,2874.0,1463.0,469.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
18818.0,6650.0,5038.0,465.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
11634.0,4129.0,3918.0,461.0,0.0,357.0,2.0,357.0,2.0,357.0,1.5,true
56374.0,20724.0,16300.0,834.0,0.0,528.0,2.0,528.0,2.0,528.0,1.5,true
159976.0,57011.0,51345.0,684.0,0.0,528.0,2.0,528.0,2.0,528.0,1.5,true
15439.0,5454.0,2519.0,652.0,0.0,528.0,2.0,528.0,2.0,528.0,1.5,true
2945.0,1082.0,389.0,646.0,0.0,528.0,2.0,528.0,2.0,528.0,1.5,true
322560.0,116848.0,102834.0,978.0,0.0,376.0,2.0,376.0,2.0,376.0,1.5,true
270150.0,96392.0,91690.0,876.0,0.0,376.0,2.0,376.0,2.0,376.0,1.5,true
256931.0,91443.0,87843.0,830.0,0.0,376.0,2.0,376.0,2.0,376.0,1.5,true
142200.0,50789.0,45299.0,816.0,0.0,376.0,2.0,376.0,2.0,376.0,1.5,true
3045.0,1121.0,63.0,810.0,0.0,376.0,2.0,376.0,2.0,376.0,1.5,true
6776.0,2634.0,1081.0,667.0,0.0,475.0,2.0,475.0,2.0,475.0,1.5,true
82918.0,29755.0,26787.0,599.0,0.0,475.0,2.0,475.0,2.0,475.0,1.5,true
35503.0,12737.0,8959.0,579.0,0.0,475.0,2.0,475.0,2.0,475.0,1.5,true
