generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
728906.0,19182.0,12.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1906.0,51.0,0.0,46.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1379.0,37.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
17380.0,458.0,2.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2607.0,69.0,0.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1531.0,41.0,10.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
209653.0,5518.0,0.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
645019.0,16975.0,8.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1942.0,52.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3791.0,100.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
4356.0,115.0,0.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
36162.0,952.0,6.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
9051.0,239.0,2.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
63886.0,1682.0,2.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
97555.0,2568.0,10.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
188299.0,4956.0,4.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2210.0,59.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1993.0,53.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
8451.0,223.0,1.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1942.0,52.0,0.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1562.0,42.0,1.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
238304.0,6272.0,11.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
81099.0,2135.0,2.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
36372.0,958.0,2.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1879.0,50.0,0.0,47.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
2294.0,61.0,0.0,45.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
2487.0,66.0,3.0,44.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
11151.0,294.0,3.0,43.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
3092.0,82.0,0.0,42.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
49823.0,1312.0,0.0,41.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
410645.0,10807.0,21.0,40.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
271155.0,7136.0,18.0,39.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
1899.0,50.0,0.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2196.0,58.0,1.0,44.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1717.0,46.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
3223.0,85.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
7179.0,189.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
40239.0,1059.0,5.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
102363.0,2694.0,3.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
51644.0,1360.0,0.0,37.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2224.0,59.0,0.0,48.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1198.0,32.0,2.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1252.0,33.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2021.0,54.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2803.0,74.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
30219.0,796.0,0.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1031051.0,27133.0,6.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2735.0,72.0,0.0,51.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
1251.0,33.0,0.0,49.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
2444.0,65.0,0.0,44.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
2413.0,64.0,0.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
18454.0,486.0,0.0,39.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
3406.0,90.0,8.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
133989.0,3527.0,1.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
1712.0,46.0,0.0,43.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
4979.0,132.0,4.0,42.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
15434.0,407.0,11.0,41.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
99482.0,2618.0,2.0,40.0,0.0,39.0,2.0,39.0,2.0,39.0,1.5,true
1747.0,46.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
15199.0,400.0,1.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
28316.0,746.0,1.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
4034.0,107.0,8.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
146491.0,3856.0,8.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1412.0,38.0,0.0,37.0,0.0,34.0,2.0,34.0,2.0,34.0,1.5,true
11319.0,298.0,0.0,36.0,0.0,34.0,2.0,34.0,2.0,34.0,1.5,true
231947.0,6104.0,16.0,35.0,0.0,34.0,2.0,34.0,2.0,34.0,1.5,true
2332.0,62.0,0.0,48.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
735.0,20.0,3.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1191.0,32.0,1.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
4465.0,118.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
14660.0,386.0,6.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
39779.0,1047.0,2.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1005583.0,26463.0,7.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2120.0,56.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
523.0,14.0,1.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1169.0,31.0,1.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2123.0,56.0,0.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
6704.0,177.0,0.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
80935.0,2130.0,2.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
146903.0,3866.0,3.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2618.0,69.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1047.0,28.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
4239.0,112.0,1.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
8114.0,214.0,5.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
36744.0,967.0,4.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3783.0,100.0,7.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
154795.0,4074.0,3.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2014.0,53.0,0.0,45.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
759.0,20.0,6.0,41.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
2355.0,62.0,4.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
26231.0,691.0,2.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
46075.0,1213.0,0.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
88262.0,2323.0,1.0,36.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
2084.0,55.0,0.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2910.0,77.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2269.0,60.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
25899.0,682.0,9.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
603684.0,15887.0,23.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
2054.0,55.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3406.0,90.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3698.0,98.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1574.0,42.0,0.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
738.0,20.0,4.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2802.0,74.0,0.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
34127.0,899.0,13.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1916444.0,50433.0,19.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2170.0,58.0,0.0,46.0,0.0,35.0,2.0,35.0,2.0,35.0,1.5,true
2249.0,60.0,0.0,44.0,0.0,35.0,2.0,35.0,2.0,35.0,1.5,true
5694.0,150.0,0.0,42.0,0.0,35.0,2.0,35.0,2.0,35.0,1.5,true
1565.0,42.0,1.0,40.0,0.0,35.0,2.0,35.0,2.0,35.0,1.5,true
