generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
2665.0,71.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
2123.0,56.0,0.0,46.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1028.0,28.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1017.0,27.0,1.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
7439.0,196.0,23.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
17265.0,455.0,1.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
15248.0,402.0,0.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2591.0,69.0,0.0,52.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
864.0,23.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
3262.0,86.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1814.0,48.0,1.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
3816.0,101.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
2796.0,74.0,1.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2719.0,72.0,1.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
27951.0,736.0,2.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
19667.0,518.0,6.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
1833.0,49.0,0.0,44.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
174.0,5.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
20534.0,541.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
34437.0,907.0,1.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
72936.0,1920.0,22.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
28722.0,756.0,2.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
606132.0,15951.0,13.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
1833.0,49.0,0.0,45.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
1166.0,31.0,0.0,41.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
2237.0,59.0,0.0,39.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
51358.0,1352.0,0.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
872242.0,22954.0,6.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
1890.0,50.0,0.0,47.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
764.0,21.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
9663.0,255.0,1.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
6978.0,184.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
8476.0,224.0,3.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
48408.0,1274.0,5.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
157778.0,4153.0,6.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2009.0,53.0,0.0,47.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
1738.0,46.0,0.0,44.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
1429.0,38.0,0.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
78000.0,2053.0,5.0,39.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
6065.0,160.0,2.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
6993.0,185.0,0.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
131580.0,3463.0,5.0,36.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
2076.0,55.0,0.0,48.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
555.0,15.0,0.0,46.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
2151.0,57.0,7.0,45.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
13133.0,346.0,1.0,44.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
61392.0,1616.0,2.0,43.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
32208.0,848.0,4.0,42.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
6915.0,182.0,0.0,41.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
209592.0,5516.0,10.0,40.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
45736.0,1204.0,6.0,39.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
1698.0,45.0,0.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
14803.0,390.0,0.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
31941.0,841.0,2.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
21149.0,557.0,1.0,36.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
1807.0,48.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2106.0,56.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
1602.0,43.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
11475.0,302.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
20367.0,536.0,1.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
263509.0,6935.0,7.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2196.0,58.0,0.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
3639.0,96.0,1.0,44.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2604.0,69.0,1.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
4229.0,112.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
4457.0,118.0,3.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
163181.0,4295.0,2.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
728906.0,19182.0,12.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
1906.0,51.0,0.0,46.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1379.0,37.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
17380.0,458.0,2.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
2607.0,69.0,0.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1531.0,41.0,10.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
209653.0,5518.0,0.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
645019.0,16975.0,8.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
1942.0,52.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
3791.0,100.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
4356.0,115.0,0.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
36162.0,952.0,6.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
9051.0,239.0,2.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
63886.0,1682.0,2.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
97555.0,2568.0,10.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
188299.0,4956.0,4.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2210.0,59.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1993.0,53.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
8451.0,223.0,1.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1942.0,52.0,0.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1562.0,42.0,1.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
238304.0,6272.0,11.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
81099.0,2135.0,2.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
36372.0,958.0,2.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
1879.0,50.0,0.0,47.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
2294.0,61.0,0.0,45.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
2487.0,66.0,3.0,44.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
11151.0,294.0,3.0,43.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,false
3092.0,82.0,0.0,42.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
49823.0,1312.0,0.0,41.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
410645.0,10807.0,21.0,40.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
271155.0,7136.0,18.0,39.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
1899.0,50.0,0.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2196.0,58.0,1.0,44.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
1717.0,46.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
3223.0,85.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
7179.0,189.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
40239.0,1059.0,5.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
102363.0,2694.0,3.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
51644.0,1360.0,0.0,37.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2224.0,59.0,0.0,48.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
1198.0,32.0,2.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
1252.0,33.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2021.0,54.0,0.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2803.0,74.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
30219.0,796.0,0.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
1031051.0,27133.0,6.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2735.0,72.0,0.0,51.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
1251.0,33.0,0.0,49.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
2444.0,65.0,0.0,44.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
2413.0,64.0,0.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
18454.0,486.0,0.0,39.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
3406.0,90.0,8.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
133989.0,3527.0,1.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
1712.0,46.0,0.0,43.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
4979.0,132.0,4.0,42.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
15434.0,407.0,11.0,41.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
99482.0,2618.0,2.0,40.0,0.0,39.0,2.0,39.0,2.0,39.0,1.1,true
1747.0,46.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
15199.0,400.0,1.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
28316.0,746.0,1.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
4034.0,107.0,8.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
146491.0,3856.0,8.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
1412.0,38.0,0.0,37.0,0.0,34.0,2.0,34.0,2.0,34.0,1.1,true
11319.0,298.0,0.0,36.0,0.0,34.0,2.0,34.0,2.0,34.0,1.1,true
231947.0,6104.0,16.0,35.0,0.0,34.0,2.0,34.0,2.0,34.0,1.1,true
2332.0,62.0,0.0,48.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
735.0,20.0,3.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
1191.0,32.0,1.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
4465.0,118.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
14660.0,386.0,6.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
39779.0,1047.0,2.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
1005583.0,26463.0,7.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2120.0,56.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
523.0,14.0,1.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1169.0,31.0,1.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
2123.0,56.0,0.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
6704.0,177.0,0.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
80935.0,2130.0,2.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
146903.0,3866.0,3.0,38.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2618.0,69.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1047.0,28.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
4239.0,112.0,1.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
8114.0,214.0,5.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
36744.0,967.0,4.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
3783.0,100.0,7.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
154795.0,4074.0,3.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2014.0,53.0,0.0,45.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
759.0,20.0,6.0,41.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
2355.0,62.0,4.0,40.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,false
26231.0,691.0,2.0,38.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
46075.0,1213.0,0.0,37.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
88262.0,2323.0,1.0,36.0,0.0,36.0,2.0,36.0,2.0,36.0,1.1,true
2084.0,55.0,0.0,45.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2910.0,77.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,false
2269.0,60.0,0.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
25899.0,682.0,9.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
603684.0,15887.0,23.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.1,true
2054.0,55.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
3406.0,90.0,0.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
3698.0,98.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
1574.0,42.0,0.0,43.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,false
738.0,20.0,4.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2802.0,74.0,0.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
34127.0,899.0,13.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
1916444.0,50433.0,19.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.1,true
2170.0,58.0,0.0,46.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,false
2249.0,60.0,0.0,44.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,false
5694.0,150.0,0.0,42.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,false
1565.0,42.0,1.0,40.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,false
5126.0,135.0,0.0,39.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,true
13144.0,346.0,16.0,38.0,0.0,35.0,2.0,35.0,2.0,35.0,1.1,true
