Cost, Pr(OPT<Cost)
35.2,0.011111111111111112
36.9811320754717,0.022222222222222223
39.199999999999996,0.03333333333333333
39.72093023255814,0.044444444444444446
40.0,0.05555555555555556
40.372093023255815,0.06666666666666667
40.526315789473685,0.07777777777777778
40.92307692307692,0.08888888888888889
41.26315789473684,0.11111111111111112
41.64102564102564,0.12222222222222223
42.0,0.14444444444444446
42.42424242424242,0.15555555555555556
42.8235294117647,0.16666666666666666
43.07692307692308,0.17777777777777776
43.2,0.18888888888888886
43.27272727272727,0.22222222222222218
43.473684210526315,0.23333333333333328
43.55555555555556,0.24444444444444438
43.64705882352941,0.2555555555555555
44.800000000000004,0.2666666666666666
45.37931034482759,0.27777777777777773
46.0,0.28888888888888886
46.66666666666667,0.3
49.0,0.3111111111111111
49.96078431372549,0.32222222222222224
56.51851851851852,0.33333333333333337
58.89655172413793,0.3444444444444445
60.30769230769231,0.3666666666666667
61.25,0.3777777777777778
62.78787878787878,0.38888888888888895
63.41176470588235,0.4000000000000001
64.61538461538461,0.4111111111111112
65.05882352941177,0.42222222222222233
65.10000000000001,0.43333333333333346
65.33333333333334,0.45555555555555566
65.88235294117648,0.47777777777777786
67.03030303030303,0.5000000000000001
67.58620689655172,0.5222222222222224
68.0,0.5333333333333334
68.13333333333333,0.5444444444444445
69.0,0.5555555555555556
70.42424242424242,0.5666666666666667
70.48275862068965,0.5777777777777777
71.86666666666667,0.5888888888888888
72.12121212121212,0.5999999999999999
73.0,0.6222222222222221
74.0,0.6333333333333332
74.04444444444444,0.6444444444444443
75.0,0.6555555555555553
79.0,0.6666666666666664
79.52,0.6777777777777775
84.71794871794872,0.6888888888888886
87.39393939393939,0.6999999999999996
89.15789473684211,0.7111111111111107
89.89473684210527,0.7222222222222218
93.05882352941177,0.7333333333333328
98.0,0.7444444444444439
99.86666666666667,0.755555555555555
100.41379310344828,0.766666666666666
100.94736842105263,0.7777777777777771
102.0,0.7888888888888882
106.0,0.7999999999999993
106.39999999999999,0.8111111111111103
108.13793103448276,0.8222222222222214
109.2,0.8333333333333325
110.06896551724138,0.8444444444444436
112.0,0.8666666666666658
114.54545454545455,0.8777777777777769
116.8695652173913,0.888888888888888
138.0,0.899999999999999
140.9655172413793,0.9111111111111101
141.21739130434784,0.9222222222222212
144.0,0.9333333333333322
145.83333333333331,0.9444444444444433
152.0,0.9555555555555544
154.6086956521739,0.9666666666666655
156.33333333333331,0.9777777777777765
162.4,1.0
