generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
93.0,17.0,0.0,65.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
15.0,3.0,0.0,55.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
391.0,73.0,0.0,159.0,0.0,54.0,2.0,54.0,2.0,54.0,1.5,true
52.0,10.0,0.0,144.0,0.0,54.0,2.0,54.0,2.0,54.0,1.5,true
2168.0,429.0,226.0,112.0,0.0,54.0,31.0,54.0,31.0,54.0,1.5,true
5885.0,1127.0,174.0,109.0,0.0,54.0,2.0,54.0,2.0,54.0,1.5,true
