domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,9,5,3422.0,2002.0,1402.0,620.0,620.0,13.0,606.0,12.0,510.0,80.0,618.0,0.5,false
VacuumRobot,9,6,8018.0,4712.0,1883.0,618.0,618.0,471.0,16.0,470.0,17.0,469.0,618.0,0.5,false
VacuumRobot,10,1,30941.0,18548.0,11367.0,833.0,833.0,342.0,1.0,341.0,2.0,340.0,569.0,0.5,false
VacuumRobot,10,2,45337.0,26843.0,19695.0,585.0,585.0,333.0,17.0,333.0,16.0,334.0,569.0,0.5,false
VacuumRobot,10,3,10063.0,5912.0,3253.0,569.0,569.0,38.0,512.0,41.0,512.0,41.0,569.0,0.5,false
VacuumRobot,11,1,2029.0,1191.0,172.0,508.0,508.0,327.0,1.0,326.0,2.0,325.0,442.0,0.5,false
VacuumRobot,11,2,3757.0,2219.0,1511.0,482.0,482.0,19.0,470.0,18.0,471.0,17.0,442.0,0.5,false
VacuumRobot,11,3,13984.0,8165.0,3710.0,458.0,458.0,206.0,159.0,214.0,170.0,207.0,442.0,0.5,false
VacuumRobot,11,4,690.0,359.0,225.0,454.0,454.0,6.0,451.0,5.0,452.0,4.0,442.0,0.5,false
VacuumRobot,11,5,3363.0,1993.0,87.0,452.0,452.0,8.0,445.0,7.0,446.0,6.0,442.0,0.5,false
VacuumRobot,11,6,1996.0,1173.0,89.0,442.0,442.0,12.0,439.0,11.0,440.0,10.0,442.0,0.5,false
VacuumRobot,12,1,11973.0,7086.0,2547.0,806.0,806.0,442.0,1.0,441.0,2.0,440.0,612.0,0.5,false
VacuumRobot,12,2,31867.0,18643.0,13078.0,668.0,668.0,379.0,78.0,378.0,76.0,380.0,612.0,0.5,false
VacuumRobot,12,3,5523.0,3273.0,1846.0,654.0,654.0,8.0,647.0,11.0,648.0,10.0,612.0,0.5,false
VacuumRobot,12,4,20749.0,12245.0,10672.0,642.0,642.0,11.0,632.0,12.0,633.0,11.0,612.0,0.5,false
VacuumRobot,12,5,22305.0,13141.0,8619.0,638.0,638.0,12.0,621.0,11.0,623.0,11.0,612.0,0.5,false
VacuumRobot,12,6,28969.0,17371.0,12858.0,636.0,636.0,245.0,304.0,228.0,304.0,228.0,612.0,0.5,false
VacuumRobot,12,7,31186.0,18514.0,1883.0,616.0,616.0,423.0,78.0,420.0,78.0,420.0,612.0,0.5,false
VacuumRobot,12,8,12651.0,7446.0,983.0,612.0,612.0,283.0,288.0,282.0,286.0,284.0,612.0,0.5,false
VacuumRobot,13,1,2596.0,1568.0,208.0,666.0,666.0,411.0,1.0,410.0,2.0,409.0,520.0,0.5,false
VacuumRobot,13,2,4303.0,2455.0,1521.0,554.0,554.0,400.0,12.0,399.0,16.0,397.0,520.0,0.5,false
VacuumRobot,13,3,7185.0,4139.0,2987.0,524.0,524.0,320.0,106.0,319.0,107.0,318.0,520.0,0.5,false
VacuumRobot,13,4,16575.0,9877.0,3228.0,520.0,520.0,408.0,6.0,407.0,33.0,386.0,520.0,0.5,false
VacuumRobot,14,1,37099.0,21914.0,15360.0,911.0,911.0,478.0,1.0,477.0,2.0,476.0,778.0,0.5,false
VacuumRobot,14,2,1647.0,955.0,769.0,897.0,897.0,33.0,835.0,32.0,835.0,32.0,778.0,0.5,false
VacuumRobot,14,3,7923.0,4672.0,2974.0,865.0,865.0,85.0,725.0,92.0,726.0,91.0,778.0,0.5,false
