generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
4474.0,2656.0,648.0,846.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,false
440.0,255.0,15.0,704.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,false
12841.0,7617.0,4775.0,630.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,true
3323.0,1967.0,1862.0,624.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,true
5453.0,3248.0,1258.0,618.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,true
2684.0,1572.0,501.0,614.0,0.0,465.0,2.0,465.0,2.0,465.0,1.1,true
8846.0,5247.0,2082.0,871.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,false
17376.0,10316.0,7692.0,797.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
24129.0,14342.0,13283.0,753.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
294.0,168.0,36.0,743.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
58241.0,34527.0,8125.0,740.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
42331.0,25245.0,4480.0,738.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
91217.0,54529.0,1196.0,737.0,0.0,525.0,2.0,525.0,2.0,525.0,1.1,true
13149.0,7770.0,3199.0,810.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,false
7664.0,4490.0,2653.0,716.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
7209.0,4271.0,1784.0,700.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
31292.0,18541.0,12227.0,672.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
984.0,581.0,230.0,664.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
9691.0,5711.0,1624.0,658.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
120622.0,71980.0,5631.0,657.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
18857.0,11297.0,2.0,655.0,0.0,397.0,2.0,397.0,2.0,397.0,1.1,true
2348.0,1377.0,210.0,521.0,0.0,337.0,2.0,337.0,2.0,337.0,1.1,true
7404.0,4323.0,2486.0,483.0,0.0,337.0,2.0,337.0,2.0,337.0,1.1,true
12063.0,7127.0,1868.0,477.0,0.0,337.0,2.0,337.0,2.0,337.0,1.1,true
4745.0,2828.0,394.0,891.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,false
15517.0,9222.0,7059.0,765.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,false
25961.0,15299.0,11754.0,725.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,true
71111.0,42093.0,34022.0,707.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,true
54973.0,32873.0,20427.0,691.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,true
113330.0,67785.0,7712.0,689.0,0.0,450.0,2.0,450.0,2.0,450.0,1.1,true
3132.0,1835.0,242.0,706.0,0.0,474.0,2.0,474.0,2.0,474.0,1.1,false
99.0,58.0,15.0,692.0,0.0,474.0,2.0,474.0,2.0,474.0,1.1,false
