hRange, Ratio, Pr(Ratio)<=
56.0,1.9655172413793103,0.7461538461538457
56.0,1.967741935483871,0.7476923076923072
56.0,2.0,0.7599999999999996
56.0,2.032258064516129,0.761538461538461
56.0,2.0434782608695654,0.7646153846153841
56.0,2.0476190476190474,0.7676923076923072
56.0,2.0526315789473686,0.7692307692307687
56.0,2.066666666666667,0.7723076923076918
56.0,2.0714285714285716,0.7738461538461533
56.0,2.0833333333333335,0.7769230769230764
56.0,2.090909090909091,0.781538461538461
56.0,2.096774193548387,0.7830769230769224
56.0,2.1,0.7846153846153839
56.0,2.103448275862069,0.787692307692307
56.0,2.12,0.7892307692307685
56.0,2.130434782608696,0.79076923076923
56.0,2.1333333333333333,0.7923076923076915
56.0,2.142857142857143,0.7969230769230761
56.0,2.1578947368421053,0.7984615384615376
56.0,2.161290322580645,0.799999999999999
56.0,2.1724137931034484,0.8015384615384605
56.0,2.1818181818181817,0.803076923076922
56.0,2.185185185185185,0.8061538461538451
56.0,2.2,0.8092307692307682
56.0,2.217391304347826,0.8123076923076913
56.0,2.225806451612903,0.8138461538461528
56.0,2.238095238095238,0.8153846153846143
56.0,2.2413793103448274,0.8169230769230758
56.0,2.25,0.8184615384615372
56.0,2.263157894736842,0.8199999999999987
56.0,2.2666666666666666,0.8215384615384602
56.0,2.2857142857142856,0.8246153846153833
56.0,2.3043478260869565,0.8261538461538448
56.0,2.3076923076923075,0.8292307692307679
56.0,2.3333333333333335,0.8307692307692294
56.0,2.3548387096774195,0.8323076923076909
56.0,2.3636363636363638,0.8369230769230754
56.0,2.3684210526315788,0.8384615384615369
56.0,2.3793103448275863,0.8399999999999984
56.0,2.3846153846153846,0.8415384615384599
56.0,2.4,0.844615384615383
56.0,2.4074074074074074,0.8476923076923061
56.0,2.4285714285714284,0.8507692307692292
56.0,2.44,0.8553846153846137
56.0,2.4482758620689653,0.8569230769230752
56.0,2.4615384615384617,0.8584615384615367
56.0,2.473684210526316,0.8599999999999982
56.0,2.4782608695652173,0.8615384615384597
56.0,2.4838709677419355,0.8630769230769212
56.0,2.5,0.8676923076923058
56.0,2.52,0.8692307692307673
56.0,2.5238095238095237,0.8723076923076903
56.0,2.5384615384615383,0.8738461538461518
56.0,2.5454545454545454,0.8753846153846133
56.0,2.5483870967741935,0.8769230769230748
56.0,2.5652173913043477,0.8784615384615363
56.0,2.5789473684210527,0.8799999999999978
56.0,2.5833333333333335,0.8830769230769209
56.0,2.6,0.8846153846153824
56.0,2.6129032258064515,0.8876923076923054
56.0,2.619047619047619,0.8892307692307669
56.0,2.6296296296296298,0.8907692307692284
56.0,2.6363636363636362,0.8923076923076899
56.0,2.6551724137931036,0.8938461538461514
56.0,2.6666666666666665,0.8969230769230745
56.0,2.68,0.898461538461536
56.0,2.7,0.9015384615384591
56.0,2.7142857142857144,0.9046153846153822
56.0,2.7241379310344827,0.9061538461538436
56.0,2.7333333333333334,0.9076923076923051
56.0,2.7419354838709675,0.9092307692307666
56.0,2.769230769230769,0.9107692307692281
56.0,2.7777777777777777,0.9123076923076896
56.0,2.7857142857142856,0.9138461538461511
56.0,2.793103448275862,0.9153846153846126
56.0,2.8,0.9169230769230741
56.0,2.806451612903226,0.9184615384615356
56.0,2.8518518518518516,0.919999999999997
56.0,2.8620689655172415,0.9215384615384585
56.0,2.8666666666666667,0.92307692307692
56.0,2.8947368421052633,0.9261538461538431
56.0,2.9,0.9276923076923046
56.0,2.923076923076923,0.9292307692307661
56.0,2.9285714285714284,0.9307692307692276
56.0,2.933333333333333,0.9323076923076891
56.0,3.0,0.9415384615384583
56.0,3.074074074074074,0.9430769230769198
56.0,3.1052631578947367,0.9446153846153813
56.0,3.142857142857143,0.9461538461538428
56.0,3.1481481481481484,0.9476923076923043
56.0,3.1666666666666665,0.9492307692307658
56.0,3.1739130434782608,0.9507692307692273
56.0,3.1818181818181817,0.9523076923076887
56.0,3.24,0.9538461538461502
56.0,3.2962962962962963,0.9553846153846117
56.0,3.32,0.9569230769230732
56.0,3.347826086956522,0.9584615384615347
56.0,3.3636363636363638,0.9599999999999962
56.0,3.380952380952381,0.9615384615384577
56.0,3.3846153846153846,0.9630769230769192
56.0,3.4166666666666665,0.9646153846153807
56.0,3.5,0.9661538461538421
56.0,3.5714285714285716,0.9676923076923036
56.0,3.6,0.9692307692307651
56.0,3.608695652173913,0.9707692307692266
56.0,3.6956521739130435,0.9723076923076881
56.0,3.8,0.9738461538461496
56.0,3.909090909090909,0.9753846153846111
56.0,4.052631578947368,0.9769230769230726
56.0,4.142857142857143,0.978461538461534
56.0,4.161290322580645,0.9799999999999955
56.0,4.266666666666667,0.981538461538457
56.0,4.4,0.9830769230769185
56.0,4.448275862068965,0.98461538461538
56.0,4.714285714285714,0.9861538461538415
56.0,4.925925925925926,0.987692307692303
56.0,5.090909090909091,0.9892307692307645
56.0,5.153846153846154,0.990769230769226
56.0,5.380952380952381,0.9923076923076875
56.0,5.4,0.9938461538461489
56.0,5.6,0.9953846153846104
56.0,5.666666666666667,0.9969230769230719
56.0,5.842105263157895,0.9984615384615334
56.0,6.043478260869565,1.0
94.0,1.0,0.02
94.0,1.0357142857142858,0.0216
94.0,1.0363636363636364,0.023200000000000002
94.0,1.037037037037037,0.024800000000000003
94.0,1.0377358490566038,0.026400000000000003
94.0,1.0384615384615385,0.027200000000000002
94.0,1.0392156862745099,0.028800000000000003
94.0,1.04,0.030400000000000003
94.0,1.0408163265306123,0.031200000000000002
94.0,1.0444444444444445,0.032
94.0,1.0454545454545454,0.0328
94.0,1.0465116279069768,0.033600000000000005
94.0,1.0476190476190477,0.03440000000000001
94.0,1.0588235294117647,0.03520000000000001
94.0,1.0606060606060606,0.036800000000000006
94.0,1.0625,0.038400000000000004
94.0,1.0754716981132075,0.039200000000000006
94.0,1.0769230769230769,0.041600000000000005
94.0,1.0784313725490196,0.0432
94.0,1.08,0.044000000000000004
94.0,1.0816326530612246,0.046400000000000004
94.0,1.0833333333333333,0.0488
94.0,1.0851063829787233,0.0504
94.0,1.0869565217391304,0.052
94.0,1.0888888888888888,0.0544
94.0,1.0909090909090908,0.056799999999999996
94.0,1.0930232558139534,0.058399999999999994
94.0,1.0952380952380953,0.05999999999999999
94.0,1.0975609756097562,0.06319999999999999
94.0,1.1,0.0672
94.0,1.1025641025641026,0.07039999999999999
94.0,1.105263157894737,0.0768
94.0,1.1071428571428572,0.07999999999999999
94.0,1.1081081081081081,0.08479999999999999
94.0,1.1090909090909091,0.08879999999999999
94.0,1.1111111111111112,0.09519999999999999
94.0,1.1132075471698113,0.0992
94.0,1.1142857142857143,0.10479999999999999
94.0,1.1153846153846154,0.1088
94.0,1.1176470588235294,0.1176
94.0,1.12,0.1224
94.0,1.121212121212121,0.128
94.0,1.1224489795918366,0.1312
94.0,1.125,0.13840000000000002
94.0,1.127659574468085,0.14160000000000003
94.0,1.1304347826086956,0.14400000000000004
94.0,1.1333333333333333,0.14560000000000003
94.0,1.1363636363636365,0.14800000000000005
94.0,1.1395348837209303,0.15040000000000006
94.0,1.1428571428571428,0.15200000000000005
94.0,1.1454545454545455,0.15360000000000004
94.0,1.1481481481481481,0.15600000000000006
94.0,1.150943396226415,0.15760000000000005
94.0,1.1538461538461537,0.16160000000000005
94.0,1.1568627450980393,0.16400000000000006
94.0,1.1578947368421053,0.16480000000000006
94.0,1.16,0.16720000000000007
94.0,1.162162162162162,0.17040000000000008
94.0,1.163265306122449,0.1736000000000001
94.0,1.1666666666666667,0.1808000000000001
94.0,1.1702127659574468,0.1848000000000001
94.0,1.1714285714285715,0.1864000000000001
94.0,1.173913043478261,0.1904000000000001
94.0,1.1764705882352942,0.1928000000000001
94.0,1.1777777777777778,0.19520000000000012
94.0,1.1785714285714286,0.1968000000000001
94.0,1.1818181818181819,0.2032000000000001
94.0,1.1851851851851851,0.2048000000000001
94.0,1.186046511627907,0.2080000000000001
94.0,1.1875,0.21040000000000011
94.0,1.1886792452830188,0.21360000000000012
94.0,1.1904761904761905,0.21760000000000013
94.0,1.1923076923076923,0.21920000000000012
94.0,1.1951219512195121,0.2208000000000001
94.0,1.196078431372549,0.2224000000000001
94.0,1.2,0.2256000000000001
94.0,1.2040816326530612,0.22800000000000012
94.0,1.205128205128205,0.22880000000000011
94.0,1.2083333333333333,0.23200000000000012
94.0,1.2105263157894737,0.2336000000000001
94.0,1.2127659574468086,0.23680000000000012
94.0,1.2142857142857142,0.24080000000000013
94.0,1.2173913043478262,0.24320000000000014
94.0,1.2181818181818183,0.24640000000000015
94.0,1.2222222222222223,0.25200000000000017
94.0,1.2264150943396226,0.2544000000000002
94.0,1.2272727272727273,0.2552000000000002
94.0,1.2285714285714286,0.2568000000000002
94.0,1.2307692307692308,0.2600000000000002
94.0,1.2325581395348837,0.26160000000000017
94.0,1.2352941176470589,0.26480000000000015
94.0,1.2380952380952381,0.26640000000000014
94.0,1.24,0.26880000000000015
94.0,1.2424242424242424,0.2696000000000002
94.0,1.2439024390243902,0.27280000000000015
94.0,1.2448979591836735,0.27520000000000017
94.0,1.25,0.2816000000000002
94.0,1.2545454545454546,0.2832000000000002
94.0,1.2553191489361701,0.28640000000000015
94.0,1.2592592592592593,0.28800000000000014
94.0,1.2608695652173914,0.2912000000000001
94.0,1.263157894736842,0.29200000000000015
94.0,1.2666666666666666,0.29600000000000015
94.0,1.2692307692307692,0.2968000000000002
94.0,1.2702702702702702,0.29840000000000017
94.0,1.2727272727272727,0.30160000000000015
94.0,1.2745098039215685,0.30240000000000017
94.0,1.2777777777777777,0.3032000000000002
94.0,1.2790697674418605,0.3072000000000002
94.0,1.28,0.3080000000000002
94.0,1.2857142857142858,0.3136000000000002
94.0,1.290909090909091,0.31440000000000023
94.0,1.2916666666666667,0.31520000000000026
94.0,1.2926829268292683,0.31920000000000026
94.0,1.2941176470588236,0.32080000000000025
94.0,1.297872340425532,0.3216000000000003
94.0,1.3,0.3264000000000003
94.0,1.3018867924528301,0.3272000000000003
94.0,1.303030303030303,0.3288000000000003
94.0,1.3043478260869565,0.3312000000000003
94.0,1.3076923076923077,0.33600000000000035
94.0,1.3111111111111111,0.33760000000000034
94.0,1.3125,0.33920000000000033
94.0,1.3137254901960784,0.3408000000000003
94.0,1.3157894736842106,0.34320000000000034
94.0,1.3181818181818181,0.34480000000000033
94.0,1.32,0.34560000000000035
94.0,1.3214285714285714,0.3464000000000004
94.0,1.3243243243243243,0.34960000000000035
94.0,1.3255813953488371,0.35120000000000035
94.0,1.3265306122448979,0.35280000000000034
94.0,1.3272727272727274,0.35360000000000036
94.0,1.3333333333333333,0.36240000000000033
94.0,1.3396226415094339,0.36320000000000036
94.0,1.3404255319148937,0.3640000000000004
94.0,1.3414634146341464,0.3664000000000004
94.0,1.3428571428571427,0.3704000000000004
94.0,1.3461538461538463,0.3720000000000004
94.0,1.3478260869565217,0.3728000000000004
94.0,1.35,0.3760000000000004
94.0,1.3529411764705883,0.3808000000000004
94.0,1.3555555555555556,0.3840000000000004
94.0,1.3571428571428572,0.3856000000000004
94.0,1.358974358974359,0.3864000000000004
94.0,1.36,0.38720000000000043
94.0,1.3636363636363635,0.39520000000000044
94.0,1.3673469387755102,0.39600000000000046
94.0,1.368421052631579,0.3984000000000005
94.0,1.3703703703703705,0.40000000000000047
94.0,1.372093023255814,0.40320000000000045
94.0,1.375,0.40880000000000044
94.0,1.3773584905660377,0.41120000000000045
94.0,1.3783783783783783,0.41280000000000044
94.0,1.380952380952381,0.41680000000000045
94.0,1.3829787234042554,0.41840000000000044
94.0,1.3846153846153846,0.42000000000000043
94.0,1.3888888888888888,0.42080000000000045
94.0,1.3902439024390243,0.42320000000000046
94.0,1.391304347826087,0.42480000000000046
94.0,1.392156862745098,0.42800000000000044
94.0,1.3928571428571428,0.4296000000000004
94.0,1.4,0.44000000000000045
94.0,1.4081632653061225,0.44240000000000046
94.0,1.4090909090909092,0.4432000000000005
94.0,1.4102564102564104,0.4496000000000005
94.0,1.411764705882353,0.4520000000000005
94.0,1.4150943396226414,0.45280000000000054
94.0,1.4166666666666667,0.4544000000000005
94.0,1.4210526315789473,0.4576000000000005
94.0,1.4242424242424243,0.4592000000000005
94.0,1.425531914893617,0.4608000000000005
94.0,1.4285714285714286,0.4624000000000005
94.0,1.4324324324324325,0.4672000000000005
94.0,1.434782608695652,0.4680000000000005
94.0,1.4363636363636363,0.4712000000000005
94.0,1.4375,0.47200000000000053
94.0,1.4390243902439024,0.4736000000000005
94.0,1.44,0.47440000000000054
94.0,1.4444444444444444,0.4816000000000005
94.0,1.4489795918367347,0.48240000000000055
94.0,1.45,0.4832000000000006
94.0,1.4528301886792452,0.48480000000000056
94.0,1.4545454545454546,0.48640000000000055
94.0,1.457142857142857,0.4912000000000006
94.0,1.4583333333333333,0.4920000000000006
94.0,1.4615384615384615,0.4960000000000006
94.0,1.4642857142857142,0.4984000000000006
94.0,1.4651162790697674,0.5000000000000007
94.0,1.4680851063829787,0.5008000000000007
94.0,1.4705882352941178,0.5080000000000007
94.0,1.4736842105263157,0.5096000000000007
94.0,1.4761904761904763,0.5104000000000007
94.0,1.4782608695652173,0.5112000000000008
94.0,1.48,0.5128000000000008
94.0,1.4814814814814814,0.5160000000000008
94.0,1.4848484848484849,0.5200000000000008
94.0,1.4864864864864864,0.5208000000000008
94.0,1.4878048780487805,0.5224000000000009
94.0,1.488888888888889,0.5240000000000009
94.0,1.489795918367347,0.5248000000000009
94.0,1.490566037735849,0.525600000000001
94.0,1.5,0.5360000000000009
94.0,1.509090909090909,0.5392000000000009
94.0,1.5098039215686274,0.5400000000000009
94.0,1.5106382978723405,0.541600000000001
94.0,1.5116279069767442,0.543200000000001
94.0,1.5128205128205128,0.5448000000000011
94.0,1.5142857142857142,0.547200000000001
