Cost, Pr(OPT<Cost)
-1.405511811023622,2.0E-5
-1.2352941176470589,4.0E-5
714.0,0.02226
714.8936170212767,0.022279999999999998
714.9345549738221,0.022299999999999997
714.9444444444445,0.022319999999999996
714.9545454545454,0.022339999999999995
714.9558232931727,0.022359999999999994
714.9596774193549,0.022379999999999994
714.9687924016283,0.022399999999999993
714.9916666666667,0.022419999999999992
714.9958158995817,0.02243999999999999
715.0042194092828,0.02245999999999999
715.0099009900989,0.02247999999999999
715.0156472261735,0.02249999999999999
715.0229226361032,0.022519999999999988
715.0243902439024,0.022559999999999986
715.0273381294963,0.022579999999999985
715.030303030303,0.022599999999999985
715.0362844702468,0.022619999999999984
715.0408163265306,0.022639999999999983
715.0453879941434,0.02267999999999998
715.0469208211143,0.02269999999999998
715.0484581497798,0.02271999999999998
715.05,0.02273999999999998
715.0656716417911,0.022759999999999978
715.0688622754491,0.02281999999999998
715.0753012048193,0.02283999999999998
715.0801815431165,0.022859999999999978
715.0867579908676,0.022879999999999977
715.0900763358779,0.022899999999999976
715.0950920245399,0.022919999999999975
715.0984615384615,0.022939999999999974
715.1035548686244,0.022959999999999973
715.1052631578948,0.022979999999999973
715.106976744186,0.02301999999999997
715.1086956521739,0.02303999999999997
715.1121495327102,0.02305999999999997
715.1138845553822,0.02307999999999997
715.1156249999999,0.023119999999999967
715.1208791208791,0.023139999999999966
715.1244094488189,0.023159999999999965
715.1279620853081,0.023179999999999965
715.129746835443,0.023219999999999963
715.1315372424722,0.023299999999999963
715.1333333333333,0.023359999999999964
715.1387559808613,0.023399999999999962
715.1405750798722,0.023459999999999964
715.1424000000001,0.023499999999999962
715.1460674157304,0.02353999999999996
715.1497584541063,0.02355999999999996
715.1516129032259,0.02365999999999996
715.1553398058252,0.023679999999999958
715.1572123176661,0.023699999999999957
715.1590909090909,0.023719999999999956
715.1609756097562,0.023759999999999955
715.1647634584012,0.023779999999999954
715.1666666666666,0.023799999999999953
715.1685761047464,0.02383999999999995
715.1724137931035,0.02385999999999995
715.1743421052632,0.02387999999999995
715.176276771005,0.02395999999999995
715.1782178217823,0.02397999999999995
715.1801652892561,0.02399999999999995
715.182119205298,0.024039999999999947
715.1840796019901,0.024059999999999946
715.1880199667221,0.024079999999999945
715.1919866444074,0.024139999999999946
715.1979865771813,0.024159999999999945
715.2,0.024219999999999946
715.2040472175379,0.024259999999999945
715.2060810810812,0.024279999999999944
715.2081218274111,0.024299999999999943
715.2101694915254,0.02433999999999994
715.2163543441226,0.02435999999999994
715.2184300341296,0.02437999999999994
715.2205128205128,0.02445999999999994
715.222602739726,0.02447999999999994
715.2268041237113,0.02449999999999994
715.2310344827586,0.024519999999999938
715.2331606217617,0.024559999999999936
715.2395833333334,0.024579999999999935
715.2439024390245,0.024599999999999934
715.2504378283713,0.024619999999999934
715.2526315789473,0.024659999999999932
715.2548330404219,0.02467999999999993
715.2570422535211,0.02471999999999993
715.2637168141592,0.024759999999999928
715.2682060390764,0.024779999999999927
715.270462633452,0.024799999999999926
715.275,0.024839999999999925
715.2772808586761,0.024859999999999924
715.2841726618705,0.024879999999999923
715.2864864864865,0.024899999999999922
715.2888086642599,0.02493999999999992
715.2934782608695,0.02495999999999992
715.2981818181818,0.02497999999999992
715.3005464480874,0.025019999999999917
715.3029197080292,0.02507999999999992
715.3053016453382,0.025099999999999918
715.3125000000001,0.025119999999999917
715.3173431734318,0.025139999999999916
715.3222222222222,0.025179999999999914
715.3246753246752,0.025199999999999913
715.3421052631579,0.025239999999999912
715.3471698113208,0.02525999999999991
715.3497164461248,0.02527999999999991
715.3574144486693,0.02529999999999991
715.36,0.02531999999999991
715.3678160919541,0.025339999999999908
715.373076923077,0.025359999999999907
715.3810444874274,0.025399999999999905
715.3837209302326,0.025439999999999904
715.3864077669904,0.025459999999999903
715.3918128654971,0.0254999999999999
715.4027504911592,0.0255199999999999
715.4055118110236,0.0255399999999999
715.4138613861386,0.0255999999999999
715.4308617234468,0.0256199999999999
715.433734939759,0.0256399999999999
715.4424242424243,0.025679999999999897
715.469135802469,0.025699999999999897
715.4721649484536,0.025719999999999896
715.4752066115702,0.025739999999999895
715.4844074844075,0.025779999999999893
715.490605427975,0.02581999999999989
715.4937238493724,0.02583999999999989
715.5031578947369,0.02585999999999989
715.5321888412017,0.02587999999999989
715.5657894736843,0.02589999999999989
715.5761589403974,0.025919999999999888
715.5866666666666,0.025939999999999887
715.6044943820225,0.025999999999999888
715.6081081081081,0.026019999999999887
715.6153846153846,0.026039999999999886
715.6301369863014,0.026059999999999885
715.64896073903,0.026079999999999885
715.6800000000001,0.026099999999999884
715.6919431279622,0.026119999999999883
715.75,0.026139999999999882
715.7695167286246,0.02615999999999988
715.7984886649874,0.02617999999999988
715.8075949367088,0.02619999999999988
715.8121827411168,0.02621999999999988
715.8167938931298,0.026239999999999878
715.869109947644,0.026259999999999877
715.9116465863455,0.026279999999999876
715.921938088829,0.026299999999999876
715.9245283018868,0.026319999999999875
715.9349593495934,0.026339999999999874
715.9375848032564,0.026359999999999873
715.9455040871934,0.026379999999999872
715.953488372093,0.02639999999999987
715.9588477366254,0.02643999999999987
715.9723756906077,0.02645999999999987
715.9778393351801,0.026479999999999868
715.9916317991631,0.026499999999999867
716.0,0.026519999999999867
716.0028050490884,0.026539999999999866
716.0056179775281,0.026559999999999865
716.0084388185653,0.026579999999999864
716.0141043723554,0.026599999999999863
716.0226628895184,0.026619999999999863
716.0255319148936,0.02665999999999986
716.031294452347,0.02667999999999986
716.037089871612,0.02671999999999986
