Cost, Pr(OPT<Cost)
286.0,0.01
367.0,0.02
415.0,0.03
435.0,0.04
439.0,0.05
440.0,0.060000000000000005
441.0,0.07
442.0,0.09000000000000001
443.0,0.1
449.0,0.11
451.0,0.12
452.0,0.13
455.0,0.15
459.0,0.16
466.0,0.17
469.0,0.18000000000000002
477.0,0.19000000000000003
483.0,0.20000000000000004
500.0,0.21000000000000005
502.0,0.22000000000000006
503.0,0.23000000000000007
506.0,0.25000000000000006
509.0,0.2700000000000001
511.0,0.2800000000000001
518.0,0.3000000000000001
520.0,0.3100000000000001
523.0,0.3200000000000001
524.0,0.3300000000000001
525.0,0.34000000000000014
529.0,0.35000000000000014
534.0,0.36000000000000015
541.0,0.37000000000000016
544.0,0.38000000000000017
546.0,0.3900000000000002
552.0,0.4000000000000002
553.0,0.4100000000000002
554.0,0.4200000000000002
562.0,0.4300000000000002
566.0,0.4400000000000002
568.0,0.45000000000000023
569.0,0.46000000000000024
576.0,0.47000000000000025
577.0,0.48000000000000026
588.0,0.49000000000000027
589.0,0.5000000000000002
593.0,0.5100000000000002
595.0,0.5200000000000002
597.0,0.5300000000000002
602.0,0.5400000000000003
603.0,0.5500000000000003
604.0,0.5600000000000003
605.0,0.5700000000000003
609.0,0.5800000000000003
610.0,0.5900000000000003
612.0,0.6000000000000003
614.0,0.6300000000000003
616.0,0.6400000000000003
618.0,0.6600000000000004
620.0,0.6700000000000004
624.0,0.6900000000000004
626.0,0.7000000000000004
629.0,0.7200000000000004
630.0,0.7300000000000004
631.0,0.7500000000000004
634.0,0.7600000000000005
636.0,0.7700000000000005
646.0,0.7800000000000005
647.0,0.7900000000000005
653.0,0.8000000000000005
655.0,0.8100000000000005
661.0,0.8200000000000005
664.0,0.8300000000000005
683.0,0.8400000000000005
689.0,0.8500000000000005
693.0,0.8600000000000005
696.0,0.8700000000000006
697.0,0.8800000000000006
713.0,0.8900000000000006
728.0,0.9000000000000006
737.0,0.9100000000000006
738.0,0.9400000000000006
748.0,0.9500000000000006
760.0,0.9600000000000006
778.0,0.9700000000000006
796.0,0.9800000000000006
804.0,0.9900000000000007
807.0,1.0
