InstanceID,h,opt
6,38.0,113.0,
6,39.0,118.0,
6,40.0,114.0,
6,41.0,126.0,
6,42.0,122.0,
6,43.0,122.0,
6,44.0,123.0,
6,45.0,118.0,
6,46.0,131.0,
6,47.0,126.0,
6,48.0,127.0,
6,49.0,129.0,
6,50.0,96.0,
6,51.0,136.0,
6,52.0,98.0,
6,53.0,139.0,
6,54.0,105.0,
6,55.0,145.0,
6,56.0,146.0,
6,57.0,147.0,
6,58.0,138.0,
6,59.0,143.0,
6,60.0,117.0,
6,61.0,127.0,
6,62.0,124.0,
6,63.0,147.0,
6,65.0,155.0,
6,66.0,156.0,
6,67.0,157.0,
6,71.0,166.0,
6,73.0,157.0,
6,74.0,158.0,
7,1.0,1.0,
7,2.0,2.0,
7,4.0,12.0,
7,5.0,11.0,
7,6.0,14.0,
7,7.0,19.0,
7,8.0,14.0,
7,9.0,19.0,
7,10.0,20.0,
7,11.0,20.0,
7,12.0,22.0,
7,13.0,24.0,
7,14.0,27.0,
7,15.0,26.0,
7,16.0,29.0,
7,17.0,27.0,
7,18.0,26.0,
7,19.0,25.0,
7,20.0,37.0,
7,21.0,27.0,
7,22.0,37.0,
7,23.0,36.0,
7,24.0,40.0,
7,25.0,38.0,
7,27.0,39.0,
7,28.0,40.0,
7,29.0,41.0,
7,30.0,48.0,
7,32.0,47.0,
7,33.0,46.0,
7,34.0,48.0,
7,38.0,55.0,
7,40.0,63.0,
7,41.0,64.0,
8,1.0,1.0,
8,2.0,4.0,
8,4.0,5.0,
8,5.0,13.0,
8,6.0,21.0,
8,7.0,13.0,
8,8.0,22.0,
8,9.0,14.0,
8,10.0,23.0,
8,11.0,24.0,
8,12.0,29.0,
8,13.0,24.0,
8,14.0,37.0,
8,15.0,28.0,
8,16.0,40.0,
8,17.0,28.0,
8,18.0,42.0,
8,19.0,46.0,
8,20.0,41.0,
8,21.0,43.0,
8,22.0,32.0,
8,23.0,31.0,
8,24.0,47.0,
8,25.0,53.0,
8,26.0,50.0,
8,27.0,61.0,
8,28.0,56.0,
8,29.0,57.0,
8,30.0,129.0,
8,31.0,70.0,
8,32.0,130.0,
8,33.0,131.0,
8,34.0,122.0,
8,35.0,104.0,
8,36.0,105.0,
8,37.0,136.0,
8,38.0,142.0,
8,39.0,142.0,
8,40.0,144.0,
8,41.0,145.0,
8,42.0,146.0,
8,43.0,70.0,
8,44.0,154.0,
8,45.0,149.0,
8,46.0,150.0,
8,47.0,156.0,
8,48.0,141.0,
8,49.0,164.0,
8,50.0,165.0,
8,51.0,160.0,
8,52.0,161.0,
8,53.0,128.0,
8,54.0,169.0,
8,55.0,170.0,
8,56.0,-1.0,
8,57.0,139.0,
8,58.0,125.0,
8,59.0,180.0,
8,60.0,180.0,
8,61.0,122.0,
8,63.0,166.0,
8,64.0,142.0,
8,65.0,169.0,
