Cost, Pr(OPT<Cost)
46.0,0.011111111111111112
47.0,0.022222222222222223
48.0,0.03333333333333333
49.0,0.044444444444444446
50.0,0.05555555555555556
51.0,0.1
52.0,0.11111111111111112
53.0,0.12222222222222223
54.0,0.13333333333333333
55.0,0.15555555555555556
56.0,0.18888888888888888
57.0,0.2111111111111111
58.0,0.2222222222222222
59.0,0.2333333333333333
60.0,0.2444444444444444
61.0,0.2666666666666666
62.0,0.27777777777777773
63.0,0.28888888888888886
68.0,0.3
69.0,0.3111111111111111
70.0,0.3666666666666667
71.0,0.3777777777777778
73.0,0.4222222222222223
74.0,0.4444444444444445
75.0,0.4555555555555556
77.0,0.4777777777777778
79.0,0.5222222222222223
80.0,0.5444444444444445
83.0,0.5555555555555556
84.0,0.5777777777777778
85.0,0.5888888888888889
88.0,0.6
90.0,0.611111111111111
91.0,0.6333333333333333
92.0,0.6444444444444444
93.0,0.6555555555555554
95.0,0.6666666666666665
96.0,0.6777777777777776
98.0,0.6888888888888887
102.0,0.6999999999999997
103.0,0.7111111111111108
104.0,0.7222222222222219
105.0,0.733333333333333
106.0,0.744444444444444
107.0,0.7555555555555551
109.0,0.7666666666666662
112.0,0.7777777777777772
113.0,0.7888888888888883
114.0,0.7999999999999994
116.0,0.8111111111111104
117.0,0.8222222222222215
118.0,0.8333333333333326
119.0,0.8444444444444437
121.0,0.8555555555555547
122.0,0.8666666666666658
125.0,0.8777777777777769
127.0,0.888888888888888
132.0,0.899999999999999
134.0,0.9111111111111101
135.0,0.9222222222222212
137.0,0.9333333333333322
138.0,0.9444444444444433
144.0,0.9555555555555544
146.0,0.9666666666666655
152.0,0.9777777777777765
174.0,1.0
