domain,instance,index,generated,expanded,reopened,cost,length,initial-H,is-W-opt
VacuumRobot,17,2,8538,4987,3915,540.0,540,309.0,false
VacuumRobot,17,3,10524,6140,4011,502.0,502,309.0,false
VacuumRobot,17,4,70066,41599,2362,500.0,500,309.0,false
VacuumRobot,18,1,6231,3739,1480,658.0,658,379.0,false
VacuumRobot,18,2,12636,7369,5867,634.0,634,379.0,false
VacuumRobot,18,3,16777,9814,7757,608.0,608,379.0,false
VacuumRobot,18,4,23,14,7,602.0,602,379.0,false
VacuumRobot,18,5,11967,7066,3846,572.0,572,379.0,false
VacuumRobot,18,6,22,14,7,566.0,566,379.0,false
VacuumRobot,18,7,1419,808,596,554.0,554,379.0,false
VacuumRobot,18,8,13204,7781,2092,546.0,546,379.0,false
VacuumRobot,19,1,7069,4151,991,752.0,752,342.0,false
VacuumRobot,19,2,52096,30557,27145,632.0,632,342.0,false
VacuumRobot,19,3,26414,15439,8046,608.0,608,342.0,false
VacuumRobot,19,4,40483,23883,3024,602.0,602,342.0,false
VacuumRobot,20,1,9376,5616,1762,751.0,751,372.0,false
VacuumRobot,20,2,18676,10968,7798,613.0,613,372.0,false
VacuumRobot,20,3,2681,1572,175,611.0,611,372.0,false
VacuumRobot,20,4,75107,43985,16257,595.0,595,372.0,false
VacuumRobot,20,5,25,15,13,593.0,593,372.0,false
VacuumRobot,21,1,31519,18385,9637,940.0,940,384.0,false
VacuumRobot,21,2,36063,21131,12355,626.0,626,384.0,false
VacuumRobot,21,3,374,219,71,594.0,594,384.0,false
VacuumRobot,21,4,2853,1714,195,586.0,586,384.0,false
VacuumRobot,21,5,20956,12306,1280,572.0,572,384.0,false
VacuumRobot,21,6,57,32,27,568.0,568,384.0,false
VacuumRobot,21,7,7381,4174,850,566.0,566,384.0,false
VacuumRobot,22,1,4923,2872,528,826.0,826,492.0,false
VacuumRobot,22,2,38165,22894,20508,776.0,776,492.0,false
VacuumRobot,22,3,109173,64575,60572,742.0,742,492.0,false
VacuumRobot,22,4,94024,55575,11181,738.0,738,492.0,false
VacuumRobot,23,1,8876,5388,2129,899.0,899,456.0,false
VacuumRobot,23,2,8664,5455,4383,773.0,773,456.0,false
VacuumRobot,23,3,9578,5857,4067,753.0,753,456.0,false
VacuumRobot,23,4,16596,9937,9260,733.0,733,456.0,false
VacuumRobot,23,5,27291,16364,15119,717.0,717,456.0,false
VacuumRobot,23,6,49289,29225,27023,703.0,703,456.0,false
VacuumRobot,23,7,58946,34685,23989,697.0,697,456.0,false
VacuumRobot,23,8,24890,14880,657,695.0,695,456.0,false
VacuumRobot,23,9,52363,31417,642,693.0,693,456.0,false
VacuumRobot,24,1,10313,6038,1524,851.0,851,497.0,false
VacuumRobot,24,2,16092,9415,4128,687.0,687,497.0,false
VacuumRobot,24,3,875,470,255,675.0,675,497.0,false
VacuumRobot,24,4,15070,8826,4032,665.0,665,497.0,false
VacuumRobot,24,5,14591,8642,3507,661.0,661,497.0,false
VacuumRobot,25,1,2912,1730,310,628.0,628,388.0,false
VacuumRobot,25,2,5480,3236,2188,580.0,580,388.0,false
VacuumRobot,25,3,2549,1532,965,558.0,558,388.0,false
VacuumRobot,25,4,13882,8136,5213,534.0,534,388.0,false
VacuumRobot,25,5,10062,5987,4418,526.0,526,388.0,false
VacuumRobot,25,6,28974,17251,773,524.0,524,388.0,false
VacuumRobot,26,1,9973,5906,1730,667.0,667,264.0,false
VacuumRobot,26,2,25141,14421,5237,556.0,556,264.0,false
VacuumRobot,26,3,1213,695,396,542.0,542,264.0,false
VacuumRobot,26,4,6988,4044,2914,530.0,530,264.0,false
VacuumRobot,26,5,44331,25626,13089,518.0,518,264.0,false
VacuumRobot,26,6,62469,36482,5623,503.0,503,264.0,false
VacuumRobot,27,1,7585,4446,833,649.0,649,324.0,false
VacuumRobot,27,2,16132,9298,4446,493.0,493,324.0,false
VacuumRobot,27,3,965,539,325,477.0,477,324.0,false
VacuumRobot,27,4,2577,1470,1160,463.0,463,324.0,false
VacuumRobot,27,5,5114,2919,2515,457.0,457,324.0,false
VacuumRobot,27,6,3194,1814,1186,453.0,453,324.0,false
VacuumRobot,27,7,5561,3168,3139,445.0,445,324.0,false
VacuumRobot,27,8,3387,1925,1813,441.0,441,324.0,false
VacuumRobot,27,9,5883,3316,2959,435.0,435,324.0,false
VacuumRobot,28,1,2077,1201,37,696.0,696,456.0,false
VacuumRobot,28,2,7776,4545,2448,598.0,598,456.0,false
VacuumRobot,28,3,1245,711,462,588.0,588,456.0,false
VacuumRobot,28,4,1496,912,106,582.0,582,456.0,false
VacuumRobot,28,5,3570,2024,828,570.0,570,456.0,false
VacuumRobot,28,6,18,10,7,568.0,568,456.0,false
VacuumRobot,28,7,1847,1061,313,564.0,564,456.0,false
VacuumRobot,28,8,6964,4099,1096,562.0,562,456.0,false
VacuumRobot,29,1,3885,2318,562,596.0,596,327.0,false
VacuumRobot,29,2,8105,5003,4008,538.0,538,327.0,false
VacuumRobot,29,3,2330,1352,1053,502.0,502,327.0,false
VacuumRobot,29,4,14273,8471,7095,466.0,466,327.0,false
VacuumRobot,29,5,1344,750,529,454.0,454,327.0,false
VacuumRobot,29,6,6495,3741,1443,446.0,446,327.0,false
VacuumRobot,29,7,19015,11288,244,443.0,443,327.0,false
VacuumRobot,30,1,6368,3754,1086,773.0,773,457.0,false
VacuumRobot,30,2,21599,12753,10241,653.0,653,457.0,false
VacuumRobot,30,3,21067,12400,10037,625.0,625,457.0,false
VacuumRobot,30,4,58944,34526,29957,613.0,613,457.0,false
VacuumRobot,30,5,4801,2840,108,609.0,609,457.0,false
VacuumRobot,31,1,3190,1901,203,495.0,495,260.0,false
VacuumRobot,31,2,12830,7572,5085,425.0,425,260.0,false
VacuumRobot,31,3,25164,14626,2501,417.0,417,260.0,false
VacuumRobot,31,4,27511,16531,169,415.0,415,260.0,false
VacuumRobot,32,1,40502,24064,12651,704.0,704,297.0,false
VacuumRobot,32,2,3550,2043,1111,462.0,462,297.0,false
VacuumRobot,32,3,3252,1858,487,454.0,454,297.0,false
VacuumRobot,32,4,8638,4960,4301,446.0,446,297.0,false
VacuumRobot,32,5,9486,5631,567,444.0,444,297.0,false
VacuumRobot,32,6,15854,9291,855,442.0,442,297.0,false
VacuumRobot,33,1,4103,2304,471,694.0,694,391.0,false
VacuumRobot,33,2,6868,3960,2610,616.0,616,391.0,false
VacuumRobot,33,3,1384,756,376,590.0,590,391.0,false
VacuumRobot,33,4,8561,4916,4259,570.0,570,391.0,false
VacuumRobot,33,5,32896,18977,15975,556.0,556,391.0,false
VacuumRobot,33,6,21789,12510,3364,553.0,553,391.0,false
VacuumRobot,33,7,1987,1198,231,549.0,549,391.0,false
VacuumRobot,33,8,28084,16846,773,544.0,544,391.0,false
VacuumRobot,34,1,13035,7874,4339,957.0,957,544.0,false
VacuumRobot,34,2,247,149,78,941.0,941,544.0,false
VacuumRobot,34,3,38381,22986,16759,786.0,786,544.0,false
VacuumRobot,34,4,51067,30297,27963,734.0,734,544.0,false
VacuumRobot,34,5,4980,2981,2515,724.0,724,544.0,false
VacuumRobot,34,6,48835,28799,25629,714.0,714,544.0,false
VacuumRobot,34,7,3966,2256,1408,704.0,704,544.0,false
VacuumRobot,34,8,771,426,337,696.0,696,544.0,false
VacuumRobot,35,1,7484,4538,975,744.0,744,427.0,false
VacuumRobot,35,2,7848,4591,742,639.0,639,427.0,false
VacuumRobot,35,3,2313,1351,1037,625.0,625,427.0,false
VacuumRobot,35,4,21306,12524,3058,609.0,609,427.0,false
VacuumRobot,35,5,45194,26546,3162,605.0,605,427.0,false
VacuumRobot,35,6,15390,9043,378,603.0,603,427.0,false
VacuumRobot,36,1,2063,1144,129,571.0,571,371.0,false
VacuumRobot,36,2,414,242,25,557.0,557,371.0,false
VacuumRobot,36,3,1031,604,359,553.0,553,371.0,false
VacuumRobot,36,4,6823,3948,2904,535.0,535,371.0,false
VacuumRobot,36,5,9122,5405,1623,531.0,531,371.0,false
VacuumRobot,36,6,817,472,474,527.0,527,371.0,false
VacuumRobot,36,7,3048,1801,807,525.0,525,371.0,false
VacuumRobot,37,1,3572,2021,573,633.0,633,427.0,false
VacuumRobot,37,2,5232,3069,2039,549.0,549,427.0,false
VacuumRobot,37,3,7266,4230,3394,531.0,531,427.0,false
VacuumRobot,37,4,543,289,166,515.0,515,427.0,false
VacuumRobot,37,5,3224,1846,383,513.0,513,427.0,false
VacuumRobot,37,6,12259,7242,3210,511.0,511,427.0,false
VacuumRobot,37,7,6176,3593,1345,509.0,509,427.0,false
VacuumRobot,38,1,4631,2717,804,708.0,708,452.0,false
VacuumRobot,38,2,23908,14168,12334,688.0,688,452.0,false
VacuumRobot,38,3,37759,22297,21011,664.0,664,452.0,false
VacuumRobot,38,4,74702,44491,42503,646.0,646,452.0,false
VacuumRobot,38,5,108147,64159,60061,624.0,624,452.0,false
VacuumRobot,38,6,58971,35189,30141,616.0,616,452.0,false
VacuumRobot,39,1,34688,20521,9069,896.0,896,434.0,false
VacuumRobot,39,2,21138,12372,5166,692.0,692,434.0,false
VacuumRobot,39,3,37875,22278,4873,664.0,664,434.0,false
VacuumRobot,40,1,3401,1955,496,694.0,694,442.0,false
VacuumRobot,40,2,5486,3154,1398,618.0,618,442.0,false
VacuumRobot,40,3,28599,16782,2625,604.0,604,442.0,false
VacuumRobot,41,1,14959,8650,4290,857.0,857,439.0,false
VacuumRobot,41,2,243,138,70,813.0,813,439.0,false
VacuumRobot,41,3,31969,18698,9383,709.0,709,439.0,false
VacuumRobot,41,4,47861,28301,14404,693.0,693,439.0,false
VacuumRobot,41,5,51908,30804,22007,685.0,685,439.0,false
VacuumRobot,41,6,11575,6925,451,667.0,667,439.0,false
VacuumRobot,41,7,658,356,103,665.0,665,439.0,false
VacuumRobot,41,8,1337,749,679,661.0,661,439.0,false
VacuumRobot,41,9,1475,851,450,657.0,657,439.0,false
VacuumRobot,41,10,67,36,18,653.0,653,439.0,false
VacuumRobot,41,11,2245,1305,702,649.0,649,439.0,false
VacuumRobot,41,12,18424,10932,1870,647.0,647,439.0,false
VacuumRobot,42,1,7144,4368,1904,652.0,652,333.0,false
VacuumRobot,42,2,22435,13320,8600,583.0,583,333.0,false
VacuumRobot,42,3,22625,13047,9044,553.0,553,333.0,false
VacuumRobot,42,4,34705,20191,18296,533.0,533,333.0,false
VacuumRobot,42,5,12467,7388,894,531.0,531,333.0,false
VacuumRobot,42,6,11532,6866,321,529.0,529,333.0,false
VacuumRobot,43,1,19948,11759,5671,885.0,885,421.0,false
VacuumRobot,43,2,83475,49637,25436,855.0,855,421.0,false
VacuumRobot,43,3,39904,23743,15357,810.0,810,421.0,false
VacuumRobot,43,4,214452,126747,96140,790.0,790,421.0,false
VacuumRobot,43,5,309179,182335,112537,748.0,748,421.0,false
VacuumRobot,43,6,4430,2531,1046,742.0,742,421.0,false
VacuumRobot,43,7,38790,22729,15911,738.0,738,421.0,false
